[SYS] 2024/10/24 - 05:39:09 | One API v0.6.7 started 
[SYS] 2024/10/24 - 05:39:09 | using MySQL as database 
[FATAL] 2024/10/24 - 05:39:09 | [dial tcp 172.18.0.4:3306: connect: connection refused] 
[SYS] 2024/10/24 - 05:39:10 | One API v0.6.7 started 
[SYS] 2024/10/24 - 05:39:10 | using MySQL as database 
[FATAL] 2024/10/24 - 05:39:10 | [dial tcp 172.18.0.4:3306: connect: connection refused] 
[SYS] 2024/10/24 - 05:39:11 | One API v0.6.7 started 
[SYS] 2024/10/24 - 05:39:11 | using MySQL as database 
[FATAL] 2024/10/24 - 05:39:11 | [dial tcp 172.18.0.4:3306: connect: connection refused] 
[SYS] 2024/10/24 - 05:39:12 | One API v0.6.7 started 
[SYS] 2024/10/24 - 05:39:12 | using MySQL as database 
[FATAL] 2024/10/24 - 05:39:12 | [dial tcp 172.18.0.4:3306: connect: connection refused] 
[SYS] 2024/10/24 - 05:39:14 | One API v0.6.7 started 
[SYS] 2024/10/24 - 05:39:14 | using MySQL as database 
[FATAL] 2024/10/24 - 05:39:14 | [dial tcp 172.18.0.4:3306: connect: connection refused] 
[SYS] 2024/10/24 - 05:39:16 | One API v0.6.7 started 
[SYS] 2024/10/24 - 05:39:16 | using MySQL as database 
[SYS] 2024/10/24 - 05:39:16 | database migration started 
[SYS] 2024/10/24 - 05:39:16 | database migrated 
[SYS] 2024/10/24 - 05:39:16 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/24 - 05:39:16 | using theme default 
[SYS] 2024/10/24 - 05:39:16 | memory cache enabled 
[SYS] 2024/10/24 - 05:39:16 | sync frequency: 600 seconds 
[SYS] 2024/10/24 - 05:39:16 | channels synced from database 
[SYS] 2024/10/24 - 05:39:16 | batch update enabled with interval 10s 
[SYS] 2024/10/24 - 05:39:16 | initializing token encoders 
[SYS] 2024/10/24 - 05:39:16 | token encoders initialized 
[SYS] 2024/10/24 - 05:39:16 | server started on http://localhost:3000 
[SYS] 2024/10/24 - 05:39:26 | batch update started 
[SYS] 2024/10/24 - 05:39:26 | batch update finished 
[SYS] 2024/10/24 - 05:39:36 | batch update started 
